show,date,name,gender
State of the Union,5/3/09,Joe Sestak,m
State of the Union,5/3/09,Richard C. Shelby,m
State of the Union,5/3/09,Patrick J. Leahy,m
This Week,5/3/09,Gerry Seib,m
This Week,5/3/09,Gwen Ifill,f
This Week,5/3/09,Janet Napolitano,f
This Week,5/3/09,George Will,m
This Week,5/3/09,Paul Krugman,m
This Week,5/3/09,Orrin G. Hatch,m
This Week,5/3/09,Richard Besser,m
This Week,5/3/09,Patrick J. Leahy,m
This Week,5/3/09,Kathleen Sebelius,f
Face the Nation,5/10/09,Dick Cheney,m
Fox News Sunday,5/10/09,Bill Kristol,m
Fox News Sunday,5/10/09,David Petraeus,m
Fox News Sunday,5/10/09,Mara Liasson,f
Fox News Sunday,5/10/09,Kimberley Strassel,f
Fox News Sunday,5/10/09,Newt Gingrich,m
Fox News Sunday,5/10/09,Juan Williams,m
Meet the Press,5/10/09,Andrea Mitchell,f
Meet the Press,5/10/09,Hamid Karzai,m
Meet the Press,5/10/09,Asif Ali Zardari,m
Meet the Press,5/10/09,Steve Coll,m
State of the Union,5/10/09,Brandy Ovanek,f
State of the Union,5/10/09,David Petraeus,m
State of the Union,5/10/09,Bob Casey,m
State of the Union,5/10/09,Bob Corker,m
This Week,5/10/09,Sam Donaldson,m
This Week,5/10/09,John McCain,m
This Week,5/10/09,Robert Reich,m
This Week,5/10/09,Cokie Roberts,f
This Week,5/10/09,George Will,m
This Week,5/10/09,James Jones,m
Face the Nation,5/17/09,John Dickerson,m
Face the Nation,5/17/09,Peter T. King,m
Face the Nation,5/17/09,Anthony Romero,m
Face the Nation,5/17/09,Joan Biskupic,f
Fox News Sunday,5/17/09,Richard McBrien,m
Fox News Sunday,5/17/09,Frank Pavone,m
Fox News Sunday,5/17/09,Mitch McConnell,m
Fox News Sunday,5/17/09,Bill Kristol,m
Fox News Sunday,5/17/09,Nina Easton,f
Fox News Sunday,5/17/09,Jennifer Loven,f
Fox News Sunday,5/17/09,Brit Hume,m
Meet the Press,5/17/09,Peggy Noonan,f
Meet the Press,5/17/09,Jon Meacham,m
Meet the Press,5/17/09,Michael Steele,m
Meet the Press,5/17/09,Ron Brownstein,m
Meet the Press,5/17/09,Tim Kaine,m
Meet the Press,5/17/09,Richard Haass,m
State of the Union,5/17/09,Peter Orszag,m
State of the Union,5/17/09,John A. Boehner,m
State of the Union,5/17/09,Emily Toates,f
This Week,5/17/09,Katrina vanden Heuvel,f
This Week,5/17/09,Elizabeth (Liz) Cheney,f
This Week,5/17/09,Jim Webb,m
This Week,5/17/09,Jon Kyl,m
This Week,5/17/09,Steve Schmidt,m
This Week,5/17/09,George Will,m
This Week,5/17/09,James Carville,m
Face the Nation,5/24/09,Alvin Poussaint,m
Face the Nation,5/24/09,Colin L. Powell,m
Fox News Sunday,5/24/09,Bill Kristol,m
Fox News Sunday,5/24/09,Nina Easton,f
Fox News Sunday,5/24/09,Stephen Hayes,m
Fox News Sunday,5/24/09,Ben Nelson,m
Fox News Sunday,5/24/09,Jon Kyl,m
Fox News Sunday,5/24/09,Karl Rove,m
Fox News Sunday,5/24/09,Ceci Connolly,f
Meet the Press,5/24/09,Richard Lowry,m
Meet the Press,5/24/09,Richard J. Durbin,m
Meet the Press,5/24/09,Eugene Robinson,m
Meet the Press,5/24/09,Chuck Todd,m
Meet the Press,5/24/09,Newt Gingrich,m
Meet the Press,5/24/09,Michele Norris,f
State of the Union,5/24/09,Barbara Boxer,f
State of the Union,5/24/09,Thomas J. Ridge,m
State of the Union,5/24/09,Richard C. Shelby,m
This Week,5/24/09,Donna Brazile,f
This Week,5/24/09,E.J. Dionne,m
This Week,5/24/09,Mike Mullen,m
This Week,5/24/09,George Will,m
This Week,5/24/09,David Brooks,m
Face the Nation,5/31/09,Bob Woodward,m
Face the Nation,5/31/09,Dianne Feinstein,f
Face the Nation,5/31/09,Jon Kyl,m
Face the Nation,5/31/09,David Brooks,m
Fox News Sunday,5/31/09,Arlen Specter,m
Fox News Sunday,5/31/09,Bill Kristol,m
Fox News Sunday,5/31/09,Mitt Romney,m
Fox News Sunday,5/31/09,Brit Hume,m
Fox News Sunday,5/31/09,Mara Liasson,f
Fox News Sunday,5/31/09,Lindsey Graham,m
Fox News Sunday,5/31/09,Juan Williams,m
Meet the Press,5/31/09,Richard Wolffe,m
Meet the Press,5/31/09,Katty Kay,f
Meet the Press,5/31/09,Brian Williams,m
Meet the Press,5/31/09,Anne Mulcahy,f
Meet the Press,5/31/09,Jim Owens,m
Meet the Press,5/31/09,Patrick J. Leahy,m
Meet the Press,5/31/09,Eric Schmidt,m
Meet the Press,5/31/09,Jeff Sessions,m
State of the Union,5/31/09,Sameh Shoukry,m
State of the Union,5/31/09,Mitch McConnell,m
State of the Union,5/31/09,Amy Klobuchar,f
State of the Union,5/31/09,Kay Bailey Hutchison,f
This Week,5/31/09,Jan Crawford,f
This Week,5/31/09,Charles E. Schumer,m
This Week,5/31/09,Gwen Ifill,f
This Week,5/31/09,George Will,m
This Week,5/31/09,John Cornyn,m
This Week,5/31/09,Paul Krugman,m
This Week,5/31/09,Ed Gillespie,m
Face the Nation,6/7/09,Newt Gingrich,m
Face the Nation,6/7/09,David Axelrod,m
Fox News Sunday,6/7/09,Fred Malek,m
Fox News Sunday,6/7/09,Bill Kristol,m
Fox News Sunday,6/7/09,Mara Liasson,f
Fox News Sunday,6/7/09,Austan Goolsbee,m
Fox News Sunday,6/7/09,Richard C. Shelby,m
Fox News Sunday,6/7/09,Charles Krauthammer,m
Fox News Sunday,6/7/09,Eric Schmidt,m
Fox News Sunday,6/7/09,Juan Williams,m
State of the Union,6/7/09,David Axelrod,m
State of the Union,6/7/09,Bernard Shaw,m
This Week,6/7/09,Hillary Rodham Clinton,f
This Week,6/7/09,Claire Shipman,f
This Week,6/7/09,Matthew Dowd,m
This Week,6/7/09,George Will,m
This Week,6/7/09,Cynthia Tucker,f
Face the Nation,6/14/09,Richard J. Durbin,m
Face the Nation,6/14/09,Mitch McConnell,m
Fox News Sunday,6/14/09,Juan Williams,m
Fox News Sunday,6/14/09,Thomas Donohue,m
Fox News Sunday,6/14/09,Charles E. Grassley,m
Fox News Sunday,6/14/09,Bill Kristol,m
Fox News Sunday,6/14/09,Brit Hume,m
Fox News Sunday,6/14/09,Mara Liasson,f
Fox News Sunday,6/14/09,Christopher J. Dodd,m
Meet the Press,6/14/09,Joseph R. Biden Jr.,m
Meet the Press,6/14/09,Joe Scarborough,m
Meet the Press,6/14/09,Mike Murphy,m
State of the Union,6/14/09,Kent Conrad,m
State of the Union,6/14/09,Ben Nelson,m
State of the Union,6/14/09,Susan Collins,f
State of the Union,6/14/09,Mike Pence,m
State of the Union,6/14/09,Kathleen Sebelius,f
This Week,6/14/09,Donna Brazile,f
This Week,6/14/09,Mitt Romney,m
This Week,6/14/09,Kimberley Strassel,f
This Week,6/14/09,Ron Brownstein,m
This Week,6/14/09,George Will,m
This Week,6/14/09,Kathleen Sebelius,f
Face the Nation,6/21/09,John McCain,m
Fox News Sunday,6/21/09,Juan Williams,m
Fox News Sunday,6/21/09,Paul D. Ryan ,m
Fox News Sunday,6/21/09,Pete Hoekstra,m
Fox News Sunday,6/21/09,Stephen Hayes,m
Fox News Sunday,6/21/09,Mara Liasson,f
Fox News Sunday,6/21/09,Evan Bayh,m
Fox News Sunday,6/21/09,Karim Sadjapour,m
Fox News Sunday,6/21/09,Byron York,m
Meet the Press,6/21/09,Sam Nunn,m
